movieId,title,genres,director,release_date,year
140,Up Close and Personal,Drama|Romance,Raa Marchant,10-Sep-12,
141,"Birdcage, The",Comedy,,,
144,"Brothers McMullen, The",Comedy,,,
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,Michael Bay,07-Apr-95,
146,"Amazing Panda Adventure, The",Adventure|Children,,,
147,"Basketball Diaries, The",Drama,,,
148,"Awfully Big Adventure, An",Drama,,,
149,Amateur,Crime|Drama|Thriller,Hal Hartley,19-May-95,
150,Apollo 13,Adventure|Drama|IMAX,Ron Howard,30-Jun-95,
151,Rob Roy,Action|Drama|Romance|War,Michael Caton-Jones,14-Apr-95,
152,"Addiction, The",Drama|Horror,"Andrew Spanswick, Tamás Barok",26-Oct-17,
153,Batman Forever,Action|Adventure|Comedy|Crime,Joel Schumacher,16-Jun-95,
154,Beauty of the Day,Drama,Andrea Nobili,N/A,
155,Beyond Rangoon,Adventure|Drama|War,John Boorman,25-Aug-95,
156,Blue in the Face,Comedy|Drama,"Paul Auster, Wayne Wang, Harvey Wang",13-Oct-95,
157,Canadian Bacon,Comedy|War,Michael Moore,22-Sep-95,
158,Casper,Adventure|Children,Brad Silberling,26-May-95,
159,Clockers,Crime|Drama|Mystery,Spike Lee,13-Sep-95,
160,Congo,Action|Adventure|Mystery|Sci-Fi,Frank Marshall,09-Jun-95,
161,Crimson Tide,Drama|Thriller|War,Tony Scott,12-May-95,
162,Crumb,Documentary,Terry Zwigoff,28-Apr-95,
163,Desperado,Action|Romance|Western,Robert Rodriguez,25-Aug-95,
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,Carl Franklin,29-Sep-95,
165,Die Hard: With a Vengeance,Action|Crime|Thriller,John McTiernan,19-May-95,
166,"Doom Generation, The",Comedy|Crime|Drama,,,
168,First Knight,Action|Drama|Romance,Jerry Zucker,07-Jul-95,
169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,Dwight H. Little,19-Jul-95,
170,Hackers,Action|Adventure|Crime|Thriller,Iain Softley,15-Sep-95,
171,Jeffrey,Comedy|Drama,Christopher Ashley,18-Aug-95,
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,Robert Longo,26-May-95,
173,Judge Dredd,Action|Crime|Sci-Fi,Danny Cannon,30-Jun-95,
174,Jury Duty,Comedy,N/A,07 Apr 2023,
175,Kids,Drama,Larry Clark,01-Sep-95,
176,Living in Oblivion,Comedy,Tom DiCillo,21-Jul-95,
177,Lord of Illusions,Horror,Clive Barker,25-Aug-95,
178,Love & Human Remains,Comedy|Drama,Gaspar Noé,30-Oct-15,
179,Mad Love,Drama|Romance,Antonia Bird,26-May-95,
180,Mallrats,Comedy|Romance,Kevin Smith,20-Oct-95,
181,Mighty Morphin Power Rangers: The Movie,Action|Children,Thomas C. Grane,01-Jul-95,
183,Mute Witness,Comedy|Horror|Thriller,Anthony Waller,15-Sep-95,
184,Nadja,Drama,Michael Almereyda,01-Sep-95,
185,"Net, The",Action|Crime|Thriller,N/A,11 Oct 2005,
186,Nine Months,Comedy|Romance,Chris Columbus,12-Jul-95,
187,Party Girl,Comedy,Daisy von Scherler Mayer,09-Jun-95,
188,"Prophecy, The",Fantasy|Horror|Mystery,Emre Aluç,N/A,
189,Reckless,Comedy|Fantasy,N/A,29 Jun 2014,
190,Safe,Thriller,Boaz Yakin,27-Apr-12,
191,"Scarlet Letter, The",Drama|Romance,,,
193,Showgirls,Drama,Paul Verhoeven,22-Sep-95,
194,Smoke,Comedy|Drama,Wayne Wang,09-Jun-95,
195,Something to Talk About,Comedy|Drama|Romance,Lasse Hallström,04-Aug-95,
196,Species,Horror|Sci-Fi,Roger Donaldson,07-Jul-95,
198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Kathryn Bigelow,13-Oct-95,
199,"Umbrellas of Cherbourg, The",Drama|Musical|Romance,,,
201,Three Wishes,Drama|Fantasy,Martha Coolidge,27-Oct-95,
202,Total Eclipse,Drama|Romance,Agnieszka Holland,03-Nov-95,
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,Beeban Kidron,08-Sep-95,
204,Under Siege 2: Dark Territory,Action,Geoff Murphy,14-Jul-95,
205,Unstrung Heroes,Comedy|Drama,Diane Keaton,22-Sep-95,
206,Unzipped,Documentary,Douglas Keeve,11-Aug-95,
207,"Walk in the Clouds, A",Drama|Romance,,,
208,Waterworld,Action|Adventure|Sci-Fi,Kevin Reynolds,28-Jul-95,
209,White Man's Burden,Drama,Desmond Nakano,01-Dec-95,
210,Wild Bill,Western,Dexter Fletcher,23-Mar-12,
211,"Browning Version, The",Drama,,,
212,Bushwhacked,Adventure|Comedy|Crime|Mystery,Greg Beeman,04-Aug-95,
213,Burnt by the Sun,Drama,Nikita Mikhalkov,21-Apr-95,
214,Before the Rain,Drama|War,Milcho Manchevski,24-Feb-95,
215,Before Sunrise,Drama|Romance,Richard Linklater,27-Jan-95,
216,Billy Madison,Comedy,Tamra Davis,10-Feb-95,
217,"Babysitter, The",Drama|Thriller,William Butler,17-May-22,
218,Boys on the Side,Comedy|Drama,Herbert Ross,03-Feb-95,
219,"Cure, The",Drama,Andrea Staka,23-Oct-14,
220,Castle Freak,Horror,Stuart Gordon,14-Nov-95,
222,Circle of Friends,Drama|Romance,Pat O'Connor,15-Mar-95,
223,Clerks,Comedy,Kevin Smith,09-Nov-94,
224,Don Juan DeMarco,Comedy|Drama|Romance,Jeremy Leven,07-Apr-95,
225,Disclosure,Drama|Thriller,Barry Levinson,09-Dec-94,
227,Drop Zone,Action|Thriller,John Badham,09-Dec-94,
228,Destiny Turns on the Radio,Comedy,Jack Baran,28-Apr-95,
229,Death and the Maiden,Drama|Thriller,Roman Polanski,27-Jan-95,
230,Dolores Claiborne,Drama|Thriller,Taylor Hackford,24-Mar-95,
231,Dumb & Dumber,Adventure|Comedy,N/A,26 Sep 2016,
232,Eat Drink Man Woman,Comedy|Drama|Romance,Ang Lee,03-Aug-94,
233,Exotica,Drama,Atom Egoyan,24-Mar-95,
